Code,Lat,Lon,Elevation,Date,Time,GDOP,PosQ1D,PosQ2D,PosQ3D,StdDevX,StdDevY,StdDevZ
Stump,45.15529689,-64.36376022,1.992,2020-07-21,32:31.7,1.7,0.011,0.009,0.014,0.006,0.009,0.01
Stump,45.1552581,-64.36371482,1.868,2020-07-21,34:51.3,1.7,0.014,0.01,0.017,0.008,0.01,0.012
Stump,45.1551344,-64.36356009,1.528,2020-07-21,35:19.0,1.7,0.011,0.009,0.015,0.006,0.009,0.01
Stump,45.155121,-64.36354412,1.496,2020-07-21,35:29.7,1.7,0.012,0.008,0.014,0.007,0.009,0.009
Stump,45.15508039,-64.36347115,1.343,2020-07-21,36:07.3,1.7,0.012,0.009,0.015,0.006,0.009,0.01
Stump,45.15495888,-64.36321514,0.648,2020-07-21,37:11.9,1.7,0.011,0.008,0.014,0.006,0.008,0.009
Stump,45.15492994,-64.36317554,0.553,2020-07-21,37:24.2,1.7,0.01,0.008,0.013,0.006,0.008,0.008
Stump,45.15491534,-64.36311841,0.377,2020-07-21,37:38.7,1.7,0.01,0.008,0.013,0.006,0.008,0.008
Stump,45.15686361,-64.3640375,4.33,2020-10-14,53:00.9,1.6,0.012,0.007,0.014,0.005,0.01,0.009
Stump,45.1568067,-64.36384383,3.379,2020-10-14,54:39.6,1.6,0.013,0.008,0.016,0.006,0.011,0.01
Stump,45.14702534,-64.28923486,-4.562,2020-04-26,45:55.1,1.5,0.014,0.009,0.017,0.007,0.011,0.01
Stump,45.14706611,-64.28932864,-4.472,2020-04-26,46:17.3,1.5,0.018,0.011,0.022,0.009,0.014,0.013
Stump,45.14709407,-64.28958254,-4.365,2020-04-26,46:43.6,1.6,0.014,0.009,0.017,0.007,0.011,0.01
Stump,45.14721598,-64.28952613,-4.391,2020-04-26,47:03.1,1.6,0.017,0.01,0.02,0.008,0.013,0.012
Stump,45.14734994,-64.28958052,-4.392,2020-04-26,48:14.4,1.6,0.019,0.012,0.022,0.009,0.015,0.014
Stump,45.14748614,-64.28944555,-4.646,2020-04-26,48:39.3,1.6,0.017,0.01,0.02,0.009,0.014,0.012
Stump,45.14745578,-64.28932748,-4.665,2020-04-26,50:14.3,1.5,0.016,0.01,0.018,0.008,0.013,0.011
Stump,45.14756523,-64.28954208,-4.641,2020-04-26,51:54.8,1.5,0.019,0.012,0.023,0.01,0.015,0.013
Stump,45.14763806,-64.2896102,-4.561,2020-04-26,52:20.1,1.3,0.015,0.009,0.018,0.008,0.012,0.011
Stump,45.14771575,-64.28982326,-4.536,2020-04-26,52:38.3,1.5,0.015,0.009,0.017,0.007,0.012,0.01
Stump,45.14777914,-64.28990452,-4.411,2020-04-26,52:52.4,1.3,0.016,0.01,0.019,0.008,0.013,0.011
Stump,45.14755331,-64.28989885,-4.468,2020-04-26,53:12.1,1.3,0.015,0.009,0.018,0.008,0.012,0.011
Woody Debris,45.14751992,-64.29011162,-4.31,2020-04-26,53:40.0,1.3,0.016,0.01,0.018,0.008,0.012,0.011
Upland Interface,45.14755236,-64.28934324,-4.979,2020-04-26,54:35.5,1.3,0.016,0.01,0.019,0.008,0.013,0.011
Upland Interface,45.14729264,-64.28938938,-4.719,2020-04-26,56:37.4,1.5,0.015,0.009,0.018,0.008,0.012,0.011
Stump,45.14036086,-64.28673719,-3.907,2020-04-26,10:57.8,1.7,0.017,0.01,0.02,0.009,0.013,0.012
Stump,45.14038908,-64.28681252,-3.748,2020-04-26,11:17.9,1.7,0.015,0.009,0.017,0.007,0.011,0.01
Marsh Peat,45.14038361,-64.28676651,-3.804,2020-04-26,12:51.1,1.7,0.011,0.007,0.013,0.006,0.009,0.008
Stump,45.14031101,-64.28719836,-2.782,2020-04-26,15:48.2,1.7,0.015,0.008,0.017,0.007,0.011,0.01
Stump,45.1402918,-64.28723581,-2.691,2020-04-26,16:16.5,1.7,0.016,0.009,0.019,0.008,0.012,0.011
Stump,45.14001864,-64.28710847,-2.815,2020-04-26,21:14.6,1.8,0.015,0.008,0.017,0.007,0.011,0.011
Marsh Peat,45.13992381,-64.28685123,-2.869,2020-04-26,22:25.4,1.8,0.016,0.009,0.019,0.008,0.012,0.012
Marsh Peat,45.13983468,-64.28675219,-3,2020-04-26,23:02.1,1.8,0.018,0.01,0.021,0.009,0.014,0.013
Stump,45.13997787,-64.28710597,-2.777,2020-04-26,25:03.9,1.8,0.015,0.009,0.018,0.008,0.011,0.011
Upland Interface,45.15556302,-64.36420379,3.098,2021-02-15,07:37.1,1.4,0.012,0.006,0.014,0.004,0.009,0.01
